term	definition
Did I tell you?	¿Te dije?
I told him	le dije
I told them	les dije
I told you guys	les dije
Did you tell me?	¿Me dijiste?
Did you tell him?	¿Le dijiste?
Did you tell us?	¿Nos dijiste?
Did you tell them?	¿Les dijiste?
He told me	me dijo
Did he tell you?	¿Te dijo?
He told him	le dijo
He told us	nos dijo
He told you guys	les dijo
He told them	les dijo
Did we tell you?	¿Te dijimos?
We told him	le dijimos
We told them	les dijimos
We told you guys	les dijimos
They told me	me dijieron
Did they tell you?	¿Te dijieron?
They told him	le dijieron
They told us	nos dijieron
They told them	les dijieron
They told you guys	les dijieron
Did you guys tell me?	¿Me dijeron?
Did you guys tell him?	¿Le dijieron?
Did you guys tell us?	¿Nos dijieron?
Did you guys tell them?	¿Les dijieron?
Did I give it to you?	¿Te lo di?
I gave it to him	se lo di
I gave it to them	se lo di
I gave it to you guys	se lo di
Did you give it to me?	¿Me lo diste?
Did you give it to him?	¿Se lo diste?
Did you give it to us?	¿Nos lo diste?
Did you give it to them?	¿Se lo diste?
He gave it to me	me lo dio
Did he give it to you?	¿Te lo dio?
He gave it to him	se lo dio
He gave it to us	nos lo dio
He gave it to you guys	se lo dio
He gave it to them	se lo dio
Did we give it to you?	¿Te lo dimos?
We gave it to him	se lo dimos
We gave it to them	se lo dimos
We gave it to you guys	se lo dimos
They gave it to me	me lo dieron
Did they give it to you?	¿Te lo dieron?
They gave it to him	se lo dieron
They gave it to us	nos lo dieron
They gave it to them	se lo dieron
They gave it to you guys	se lo dieron
Did you guys give it to me?	¿Me lo dieron?
Did you guys give it to him?	¿Se lo dieron?
Did you guys give it to us?	¿Nos lo dieron?
Did you guys give it to them?	¿Se lo dieron?
