term	definition
Can I buy you a drink?	¿Puedo comprarte una bebida?
You have a beautiful smile.	Tienes una sonrisa bonita.
Would you like to dance with me?	¿Te gustaría bailar conmigo?
Do you want to go out with me?	¿Quieres salir conmigo?
Could I have your phone number?	¿Me darías tu número de teléfono?
pick-up line (piropo)	el piropo
love at first sight	el amor a primera vista
giggles (risitas)	las risitas
If kissing you were a sin, I'd walk happily through hell.	Si besarte fuera pecado, caminaría feliz por el infierno.
If only half the stars shone as brightly as your eyes.	Ojalá la mitad de las estrellas brillaran tanto como tus ojos.
Are you lost? Heaven is a long way from here.	¿Te has perdido? Porque el cielo está bien lejos de aquí.
If beauty were a crime, I'd give you life in prison.	Si la belleza fuera delito, yo te hubiera dado cadena perpetua.
Hello, I'm a thief here to steal your heart.	Hola, soy un ladrón, y estoy aquí para robar tu corazón.
I'd like to be a contact lens so you couldn't take your eyes off me.	Me gustaría ser lente de contacto para que no pudieras sacarme de tu mirada.
If water were beauty, you'd be the whole ocean.	Si el agua fuese belleza, tú serías el océano entero.
If I were a flight attendant I'd carry you on my plane; since I'm not, I carry you in my heart.	Si yo fuera azafata, te llevaría en mi avión, pero como no lo soy, te llevo en mi corazón.
Do you believe in love at first sight, or should I walk by again?	¿Crees en amor a primera vista, o debo pasar otra vez?
If only you were a firefighter to put out the fire of my desire.	Ojalá fueras bombero para apagar el fuego de mi deseo.
What's up? (MX slang)	¿qué onda?
I'm exhausted (MX slang)	estoy muerta
It's good (MX slang)	está cool
Go away (MX slang)	esfúmate / lárgate
I don't care (MX slang)	equis, me da igual
How difficult! (MX slang)	está cañón
How expensive! (MX slang)	sale en un ojo de la cara / ¿vuela o qué?
How fun! (MX slang)	¡qué padre!
How boring! (MX slang)	¡qué hueva!
Be careful! (MX slang)	¡aguas!
I have a lot of work today (MX slang)	hoy tengo mucha chamba
I'm sleepy (MX slang)	tengo mucho sueño / estoy cansado
what flow / style	qué flow
I'm kinda hooked on you	me tienes bastante pillado
to get your act together	ponerse las pilas
I love your vibe	me encanta tu rollo
I can't stop thinking about you	no dejo de pensar en ti
I don't know what it is about you but I love it	no sé qué tienes pero me encanta
come closer	ven, acércate
mami / bebecita / mamacita / bebé	mami / bebecita / mamacita / bebé
bunny (pet name)	conejita
I adore you	te adoro
I'm crazy about you	me encantas
I like you (romantic)	me gustas
Do you like me?	¿te caigo bien?
what's up? (phone)	¿qué onda?
who's speaking? (phone)	¿quién habla?
give it your all (phone)	échale
feel me whispering in your ear	siente que estoy al oído susurrándote
you drive me crazy with love (MX)	tú me traes loco de amor
I want to steal a little kiss	Quiero robar un besito
to flirt	coquetear
I see you as my little doll (MX)	te veo en babydoll
the universe has been divine (flirt)	el universo ha sido divino
to gift you	regalarte
caresses (caricias)	caricias
bold / daring (atrevida)	atrevida
little doll (pet name)	la muñequita
sweetheart (pet name)	amorcita
You must be Cinderella because I'm going to make that dress vanish at midnight	Debes ser mi Cenicienta porque voy a hacer que ese vestido desaparezca a medianoche
Are you a pie? Because I'd like a piece of you	¿Eres un pie? Porque me gustaría un pedacito de ti
I should probably be working, but I'd rather be daydreaming about you	Debería estar trabajando, pero prefiero soñar despierto contigo
I'm only one call away, don't forget that	Solo estoy a una llamada de distancia, no lo olvides
Are you sugar? Because you're looking pretty sweet	¿Eres azúcar? Porque te ves bien dulce
If you were a flower, you'd be a damn-delion	Si fueras una flor, serías un maldito-diente de león
Your lips look lonely. How about I introduce them to mine?	Tus labios se ven solos. ¿Qué tal si se los presento a los míos?
Do you need a blanket? Or just someone on top of you...	¿Necesitas una cobija? ¿O solo alguien encima de ti...?
You must be ice cream because I wanna lick you up	Debes ser helado porque quiero lamerte
Are you a pancake? Because I'm ready to flip you over	¿Eres un hotcake? Porque estoy listo para voltear
You are my star. You light up my world in an instant	Eres mi estrella. Iluminas mi mundo en un instante
You are a fire I don't want to put out, my love	Eres un fuego que no quiero apagar, mi amor
I thought Christmas only comes once a year	Pensé que la Navidad solo viene una vez al año
Remember, we're madly in love, so it's all right to kiss me anytime you feel like it	Recuerda, estamos locamente enamorados, así que está bien besarme cuando quieras
little baby	bebecita
mommy	mamacita
my soul	mi alma
my little heaven	mi cielito
sweetie	cariño
sweetheart	corazoncito
my everything	mi todo
my little queen	mi reinita
Chippy (pet name)	sabrita
kitty	gatita
love of my life	amor de mi vida
my little bean	mi frijolita
Your heart has such great value	tu corazón vale mucho
You have a beautiful soul	tienes un alma hermosa
Never forget to share your light	nunca dejes de compartir tu brillo
You deserve everything good in this world	te mereces todo lo bueno en este mundo
princess (pet name)	princesa
