term	definition
pozole	spicy Mexican soup with pork, hominy, radish, cabbage, and lime — often red, white, or green
cochinita pibil	Yucatecan pork marinated in achiote and sour citrus, slow-roasted in banana leaves until tender and shredded
chile relleno	roasted poblano pepper stuffed with cheese, egg-battered, fried, and served in tomato salsa
sincronizadas	two flour tortillas with ham and melted cheese, griddled flat like a pressed quesadilla
enchiladas	corn tortillas dipped in salsa, rolled around filling, baked with sauce and cheese on top
quesadilla rellena	thick folded or stuffed quesadilla packed with cheese plus meat, mushrooms, or other fillings
mole poblano	rich dark sauce from Puebla with chiles, seeds, spices, and a hint of chocolate — usually over poultry
enchiladas verdes	enchiladas sauced with tart green tomatillo-serrano salsa, often chicken, crema, and cheese
tacos de birria	tacos of slow-braised spiced meat (often beef or goat) with consomé for dipping
carnitas	pork shoulder simmered until tender then crisped in its own fat, shredded for tacos with onion and cilantro
dragonzito	tiny paper pouches of sweet-sour-chile powder candy — eaten straight or dusted on fruit and cucumbers from street carts
tamales	masa spread with filling, wrapped in corn husks or banana leaves, and steamed until fluffy
pambazo	soft bun dipped in guajillo salsa, seared on the plancha, stuffed with papas con chorizo, lettuce, crema, and queso
queso fundido	skillet-baked melted cheese, often with chorizo or roasted rajas, scraped onto hot tortillas right from the sizzle
empanadas	crimped pastry pockets, fried or baked — fillings from picadillo and queso to pumpkin or cajeta depending on region
chile verde	meat braised in chunky green gravy of tomatillos, green chiles, garlic, and cumin — scooped with rice or tortillas
flan	egg custard set in a mold lined with dark caramel, chilled and flipped so syrup coats every glossy slice
enchiladas de mole	tortillas softened in rich mole, rolled around chicken or cheese, topped with sesame, crema, and crumbly queso
arroz con leche	short-grain rice cooked slowly in milk with sugar, cinnamon, and vanilla until thick and spoonable
tostadas	crisp fried or baked tortillas layered with beans, meat, lettuce, crema, cheese, and salsa
tacos de suadero	tacos of thin beef from the cow's belly (suadero), griddled until juicy with cilantro, onion, and salsa
huevos rancheros	fried eggs on tortillas under spicy ranchera salsa — often with refried beans and queso fresco
huevos con chorizo	scrambled eggs mixed with crumbled Mexican chorizo until the fat colors everything red-orange
huevos a la mexicana	scrambled eggs with diced tomato, onion, and serrano chile — the colors of the Mexican flag
pinole (atole)	toasted corn flour drink, often cinnamon-sweetened — pinole is the powder; atole is the warm thickened drink
besos de nuez	walnut-shaped cookies or candies with a nut filling — literally "walnut kisses"
mezcal / mezcalita	agave spirit, often smoky from underground roasting — mezcalita is a mixed drink with mezcal
sopa azteca	tortilla soup — fried tortilla strips in a chile-tomato broth with avocado, crema, cheese, and epazote
ceviche de camarón	raw shrimp "cooked" in lime juice with tomato, onion, cilantro, and serrano — coastal and refreshing
coricos sinaloenses	Sinaloa-style corn cookies, crumbly and lightly sweet — classic pan dulce from the northwest
pollo en chile rojo	chicken simmered in a red chile sauce of dried guajillo or ancho — deep earthy heat
paella	rice dish with seafood or meat (Spanish origin, but common at celebrations and coastal restaurants in Mexico)
piña loca	whole pineapple hollowed and loaded with chamoy, tamarind, chile, and chopped fruit — street-market showpiece
chimichanga	deep-fried burrito, crisp outside and melty inside — Sonoran border classic
pollo tapatio	Guadalajara-style chicken, often in a tangy tomato-chile sauce with regional spice
pollo sinaloense	Sinaloa-style seasoned grilled or roasted chicken — bold garlic-chile marinades
cazuelas	clay cooking pots used for stews, moles, and tableside bubbling dishes — also the name for what's cooked in them
chicharrón en salsa verde	crisp pork rinds simmered in green tomatillo salsa until they soften slightly and soak up flavor
molote	fried oval masa pocket stuffed with potato, cheese, or tinga — street snack, especially in central Mexico
longaniza en salsa verde	Mexican sausage links braised in green salsa until the casing snags and the sauce clings
tacos de cabeza de borrego	tacos of slow-steamed lamb head meat — cheek, tongue, and other rich cuts from the barbacoa tradition
huarache	oval masa base pinched to look like a sandal ("huarache"), topped with beans, meat, lettuce, crema, and cheese
mole cake	dessert layering cake with mole-inspired flavors — chocolate, chile, and spice in a sweet format
pulque	fermented agave sap drink — milky, lightly fizzy, ancient and making a modern comeback
guava	tropical fruit (guayaba) eaten fresh, in agua fresca, jams, and candy — sweet-tart and fragrant
elotes con crema	grilled corn on the cob slathered with mayo or crema, cotija, chile powder, and lime
achiote	annatto seed paste (recado rojo) — earthy red Yucatecan flavor base for cochinita and many marinades
tacos al pastor	spit-roasted marinated pork shaved into tortillas with pineapple, onion, and cilantro — trompo style
hoja santa	large aromatic "sacred leaf" used in Oaxacan moles, tamales, and fish — anise-mint flavor
memela	thick oval corn masa griddled with pinched edges, topped with beans, cheese, salsa, and sometimes chapulines
chilaquiles	fried tortilla chips simmered in red or green salsa, topped with crema, cheese, onion, and often eggs or chicken
costilla frita	fried pork ribs, often lacquered with chile or served crispy with lime and salsa
tlayuda	large crisp Oaxacan corn tortilla spread with asiento, beans, cheese, cabbage, and meat — "Mexican pizza"
sapote	soft tropical fruit (mamey sapote or other varieties) — creamy orange flesh, common in aguas and helados
aguachile	raw shrimp or fish in icy lime-chile water, often with cucumber and red onion — sharper and colder than ceviche
ceviche (general)	raw seafood cured in citrus with onion, cilantro, and chile — Pacific and Gulf coast staple
trompo (tacos al pastor)	vertical rotating spit of marinated pork for al pastor — the "top" that shaves into tacos
chamorro	pork shank or hock, braised or roasted until fall-apart tender — often in adobo or soup
chorizo a la sidra	Mexican chorizo cooked with hard cider — sweet-savory Spanish-Mexican crossover
tripe (menudo)	honeycomb beef tripe in red chile broth — classic hangover soup, especially weekends
cotija cheese	crumbly salty aged cow's milk cheese — the standard crumble for elotes, tacos, and beans
José Ramos Martínez	Mexican painter (1874–1945) — lyrical landscapes and portraits bridging academic art and modern Mexico
David Alfaro Siqueiros	Mexican muralist and political activist — dynamic, monumental compositions; one of "Los Tres Grandes"
Diego Rivera	muralist who painted Mexico's history and working people on public walls — Frida Kahlo's husband
José Clemente Orozco	Mexican muralist known for dramatic, angular figures and uncompromising social themes
huachicol	illegally tapped or stolen fuel — major Mexican slang and social issue; also used for bootleg liquor in some regions
Peña de Bernal	monolithic rock in Querétaro — one of the world's tallest monoliths; climbing and town-life hub
guache (Mexican slang)	something cheap, knockoff, or of poor quality — "no compres la guacha"
rapiña	pillaging or looting — strong word in Mexican political and cultural speech for predatory extraction
Popocatépetl	active volcano southeast of Mexico City — "Popo"; paired with Iztaccíhuatl in the warrior-and-princess legend
Julión Álvarez y sus Norteño Banda	regional Mexican band — "Las Mulas de Moreno" and other norteño hits; huge concert draw
esquites	cup of corn kernels with mayo, crema, cotija, chile, and lime — the off-the-cob cousin of elote
para atrapar al ladrón	children's chasing game — "to catch the thief"; one runner is the thief, others pursue
nachos / nachitos	tortilla chips with melted cheese and toppings — Tex-Mex born, everywhere in Mexico now
burrito Jalisco	style associated with Jalisco — often simpler, meat-focused wrapped burritos from the west
Abito brand	Mexican clothing/shoe brand — casual streetwear label
chuletas ahumadas	smoked pork chops — often griddled with salsa or served with rice and beans
quesadilla El Vaquero	brand or stand known for stuffed quesadillas — "the cowboy" quesadilla spot
Panam brand	long-running Mexican footwear brand — sneakers and casual shoes
taquitos	small rolled tacos, often fried crisp — flautas' shorter cousin, dunked in salsa or guacamole
