term	definition
my love	mi amor
my life	mi vida
my heavens	mi cielito
princess	princesa
baby	bebé
darling	cariño
my treasure	mi tesora
queen	reinita
sweetheart	mi corazón
my little girl	mi chiquita
my little cupcake	mi pastelito
sunshine	solecito
little flower	florecita
crazy lady	loquita
shorty	chaparrita
little devil girl	diablita
stubborn girl	terquita
laptop lover	laptopista
my chicken	mi pollito
my bad bunny	mi conejita
sarah	saris
sarita	sarita
baby doll	muñequita
beautiful	hermosa
pretty	guapa
