term	definition
What's up? (Mexican informal)	¿qué onda?
What's up? (more informal Mexican)	¿qué tranza?
What's up? (vulgar Mexican)	¿qué pedo?
cool or nice (person, Mexican slang)	buena onda
bad vibes; not cool (Mexican slang)	mala onda
to get it; understand (Mexican slang)	agarrar la onda
long time no see! (Mexican)	¡qué milagro!
What? I didn't catch that (Mexican)	¿mande?
Huh? (Mexican, sounds like ei-oh)	¿ei-oh?
really? for real? (Mexican slang)	¿neta?
the best — esta fiesta es la ___ (Mexican slang)	la neta
really? (Mexican, like ¿neta?)	¿apoco?
no way! come on! (Mexican, mild)	¡no manches!
it doesn't matter; whatever (Mexican)	ni modo
go for it! let's go! wow! (Mexican)	¡órale!
wow! (Mexican exclamation)	¡híjole!
soon; eventually — not always right now (Mexican)	ahorita
right now (Mexican — unlike ahorita)	luego luego
careful! look out! (Mexican slang)	¡aguas!
damn ___ (before a noun, Mexican mild vulgar)	pinche
cool (things or situations, Mexican slang)	chido
cool; great (things, Mexican slang)	está padre
awesome (Mexican slang)	está padrísimo
I agree; it's a deal (Mexican slang)	cámara
it's a deal (stronger, Mexican slang)	conste
no problem (Mexican slang)	no hay bronca
dude (Mexican slang)	güey
yes (Mexican slang)	simón
dude (northern Mexico)	vato
bastard; also friendly dude (Mexican vulgar)	cabrón
countryman (Baja California slang)	paisa
buddy; compadre shortened (Mexican)	compa
close friend; like a brother (Mexican slang)	carnal
close friend (Mexican slang)	cuate
kid; young guy (Mexican slang)	chavo
young woman; girl (Mexican slang)	chava
kid (Mexican slang)	chamaco
little kids (Mexican)	peques
spoiled brat; kid (Mexican slang)	escuincle
old person (Mexican slang)	ruco
old guy acting young (Mexican slang)	chavoruco
old guy chasing young women (Mexican slang)	rabo verde
low-class attitude; like redneck (Mexican slang)	naco
stuck-up; preppy (Mexican slang)	fresa
cheesy music or taste (Mexican slang)	música fresona
cheesy (Mexican)	cursi
picky, especially about food (Mexican)	especial
Mexican-American (slang)	chicano
person from Mexico City (slang)	chilango
Mexico City (what locals call it)	D.F.
Mexican hip-hop kid (slang)	cholo
left-wing SJW type, insult (Mexican)	chairo
right-wing type, insult (Mexican)	derechairo
overly religious person, insult (Mexican)	mocho
terrible driver (Mexican slang)	cafre
beat-up car (Mexican slang)	carcacha
busted junk (Mexican slang)	cacharro
nerd (Mexican slang)	ñoño
busybody (Mexican slang)	metiche
gossipy person (Mexican slang)	chismoso
gossip (Mexican)	chisme
henpecked; bossed by partner (Mexican slang)	mandilón
someone with your same name (Mexican)	tocayo
stingy (Mexican slang)	codo
talk too much (Mexican expression)	hablar por los codos
hot; attractive (Mexican slang)	buena
really hot (Mexican slang)	bien buena
hot; good-looking woman (Mexican slang)	chula
dirty; disgusting; rude (Mexican)	cochino
softer way to say dirty (Mexican)	cochinito
bald guy, nickname (Mexican)	pelón
dirty look; sour face (Mexican slang)	jeta
woman with a resting bitch-face (Mexican slang)	jetona
dad; literally my boss (Mexican slang)	mi jefe
mom; literally my boss (Mexican slang)	mi jefa
my old lady; wife or girlfriend (Mexican)	mi vieja
old ladies, nicer (Mexican)	viejitas
this woman, often dismissive (Mexican)	esta vieja
old man; also dude among friends (Mexican)	viejo
my son (mi hijo, Mexican)	mijo
light-skinned woman with light hair (Mexican)	güera
light-skinned man with light hair (Mexican)	güero
it's fucking awesome (Mexican vulgar)	está chingón
it's fucked up (Mexican vulgar)	está de la chingada
euphemism for está de la chingada (Mexican)	de la fregada
there's a ton of ___ (Mexican vulgar)	hay un chingo de
a lot of (non-vulgar Mexican)	un montón de
I don't give a fuck (Mexican vulgar)	me vale madres
no fucking way (Mexican vulgar)	ni madres
awesome; feeling great (Mexican vulgar)	a toda madre
that sucks (Mexican vulgar)	qué poca madre
a mess; fucked-up situation (Mexican vulgar)	desmadre
no way! don't suck me off (Mexican vulgar)	¡no mames!
picky; stuck-up (Mexican vulgar)	mamón
muscular; jacked (Mexican slang)	mamado
it's tough; hard (Mexican slang)	está cabrón
pissed off (Mexican slang)	encabronado
