term	definition
I was a teacher	fui profesor
I was in Madrid all summer	estuve en Madrid todo el verano
I had a great idea	tuve una gran idea
I went to the bank	fui al banco
I saw it	lo vi
I told her the news	le dije la noticia
I made dinner	hice la cena
I gave you the book	te di el libro
I left early	me fui temprano
I put the keys on the table	puse las llaves en la mesa
I spoke with the manager	hablé con el gerente
I came to help	vine a ayudar
I found out last night	supe anoche
I wanted to stay	quise quedarme
I decided to stay home	me quedé en casa
I arrived late	llegué tarde
I went out with friends	salí con amigos
I ate too much	comí de más
I lived there for many years	viví allí unos años
I read the message	leí el mensaje
I ordered the salad	pedí la ensalada
I played in the final	jugué en la final
I slept eight hours	dormí ocho horas
I dozed off in class	me dormí en clase
I came back the next day	volví al día siguiente
I started a new project	empecé un proyecto nuevo
I thought it over	lo pensé
I met your cousin	conocí a tu primo
I brought the documents	traje los documentos
I watched the match	miré el partido
I listened to the album	escuché el álbum
I looked for a parking spot	busqué estacionamiento
I worked a double shift	trabajé doble turno
I took a taxi	tomé un taxi
I helped the neighbors	ayudé a los vecinos
I learned the answer	aprendí la respuesta
I put the jacket on	me puse la chaqueta
I got up before dawn	me levanté antes del amanecer
I heard the warning	oí el aviso
I understood the problem	entendí el problema
I drove across town	manejé cruzando la ciudad
I remembered the password	recordé la contraseña
I opened the door	abrí la puerta
I bought it for my mom	se lo compré a mi madre
I went up the stairs	subí las escaleras
I won the bet	gané la apuesta
I played that song on the radio	toqué esa canción en la radio
I believed the story	creí el cuento
I threw out the old bottles	eché las botellas viejas
I woke up at dawn	me desperté al amanecer
I liked the coffee	me gustó el café
I loved the play	me encantó la obra
My head hurt	me dolió la cabeza
My feet hurt	me dolieron los pies
he was a teacher	él fue profesor
he was in Madrid all summer	él estuvo en Madrid todo el verano
he had a great idea	él tuvo una gran idea
he went to the bank	él fue al banco
he saw it	él lo vio
he told her the news	él le dijo la noticia
he made dinner	él hizo la cena
he gave her the book	él le dio el libro
he left early	él se fue temprano
he put the keys on the table	él puso las llaves en la mesa
he spoke with the manager	él habló con el gerente
he came to help	él vino a ayudar
he found out last night	él supo anoche
he wanted to stay	él quiso quedarse
he decided to stay home	él se quedó en casa
he arrived late	él llegó tarde
he went out with friends	él salió con amigos
he ate too much	él comió de más
he lived there for years	él vivió allí unos años
he read the message	él leyó el mensaje
he ordered the salad	él pidió la ensalada
he played in the final	él jugó en la final
he slept eight hours	él durmió ocho horas
he dozed off in class	él se durmió en clase
he came back the next day	él volvió al día siguiente
he started a new project	él empezó un proyecto nuevo
he thought it over	él lo pensó
he met your cousin	él conoció a tu primo
he brought the documents	él trajo los documentos
he watched the match	él miró el partido
he listened to the album	él escuchó el álbum
he looked for a parking spot	él buscó estacionamiento
he worked a double shift	él trabajó doble turno
he took a taxi	él tomó un taxi
he helped the neighbors	él ayudó a los vecinos
he learned the answer	él aprendió la respuesta
he put the jacket on	él se puso la chaqueta
he got up before dawn	él se levantó antes del amanecer
he heard the warning	él oyó el aviso
he understood the problem	él entendió el problema
he drove across town	él manejó cruzando la ciudad
he remembered the password	él recordó la contraseña
he opened the door	él abrió la puerta
he bought it for his mom	él se lo compró a su madre
he went up the stairs	él subió las escaleras
he won the bet	él ganó la apuesta
he played that song on the radio	él tocó esa canción en la radio
he believed the story	él creyó el cuento
he threw out the old bottles	él echó las botellas viejas
he woke up at dawn	él se despertó al amanecer
she liked the coffee	a ella le gustó el café
he loved the play	a él le encantó la obra
his head hurt	le dolió la cabeza
her feet hurt	le dolieron los pies
they were teachers	ellos fueron profesores
they were in Madrid all summer	ellos estuvieron en Madrid todo el verano
they had a great idea	ellos tuvieron una gran idea
they went to the bank	ellos fueron al banco
they saw it	ellos lo vieron
they told her the news	ellos le dijeron la noticia
they made dinner	ellos hicieron la cena
they gave her the book	ellos le dieron el libro
they left early	ellos se fueron temprano
they put the keys on the table	ellos pusieron las llaves en la mesa
they spoke with the manager	ellos hablaron con el gerente
