term	definition
all that glitters is not gold	no todo lo que brilla es oro
better late than never	más vale tarde que nunca
to return good for evil	devolver bien por mal
to each his own	cada oveja con su pareja
When in Rome, do as the Romans do.	A donde fueres haz lo que vieres.
The early bird gets the worm.	A quien madruga, Dios le ayuda.
third time's the charm	a la tercera va la vencida
Desperate times call for desperate measures.	A grandes males, grandes remedios.
like father, like son	de tal palo, tal astilla
Clothes don't make the man.	El hábito no hace al monje.
You can't please everybody.	Nunca llueve a gusto de todos.
Sticks and stones… (words won't hurt me)	A palabras necias, oídos sordos.
it's no use crying over spilled milk	a lo hecho, pecho
it's a small world	el mundo es un pañuelo
to be conspicuous by one's absence	brillar por su ausencia
coup d'état	golpe de estado
coup de grâce	golpe de gracia
crime of passion	crimen pasional
sniper	el francotirador
high-end	de alta gama
high fashion	la alta costura
idée fixe	la idea fija
flea market	el mercado de pulgas
freight elevator	el montacargas
virtual reality	la realidad virtual
hearing and speech impaired	el sordomudo
Can you say that again, please?	¿Puede repetir, por favor?
Waiter (Mexico)	el mesero
I'd like	me gustaría
main course	el plato principal
appetizer	el aperitivo
Enjoy your meal!	¡Buen provecho!
bring me	tráigame
Can I get the bill, please?	¿Me trae la cuenta, por favor?
not bad at all	nada mal
I'm bored	estoy aburrido
I'm happy	estoy feliz
I feel sick	estoy mal
I'm sick	estoy enfermo
I'm tired	estoy cansado
I'm sad	estoy triste
I don't study to know more, but to be ignorant of less.	No estudio para saber más, sino por ignorar menos.
gold (color)	dorado
platinum (color)	platino
olive (color)	oliva
ocher	ocre
cyan	cian
violet	violeta
magenta	magenta
navy blue	azul marino
light brown	marrón claro
purple	púrpura
lilac	lila
light green	verde claro
dark green	verde oscuro
beige	beige
light blue	azul claro
dark blue	azul oscuro
buttocks	las nalgas
body hair	el vello
hip	la cadera
waist	la cintura
lung	el pulmón
muscle	el músculo
elbow	el codo
fingernail	la uña
brain	el cerebro
organ	el órgano
bone	el hueso
tooth	el diente
eyebrow	la ceja
toe	el dedo del pie
foot	el pie
ankle	el tobillo
leg	la pierna
skin	la piel
rib	la costilla
stomach	el estómago
finger	el dedo
wrist	la muñeca
arm	el brazo
shoulder	el hombro
breast	el seno
chest	el pecho
neck	el cuello
forehead	la frente
tongue	la lengua
mouth	la boca
eye	el ojo
ear (outer)	la oreja
nose	la nariz
hair (on head)	el pelo
face	la cara
head	la cabeza
joint	la articulación
heel	el talón
advice (consulting)	el asesoramiento
branch (office)	la sucursal
tourism	el turismo
working (day)	laborable
agenda (planner)	la agenda
schedule	la agenda
colleague	el compañero
agreement	el acuerdo
motto	el lema
contact	el contacto
market (financial)	el mercado
market (store)	la tienda
cash register	la caja
tax	el impuesto
survey	la encuesta
consultancy	la asesoría
form	el formulario
account (bank)	la cuenta
opinion poll	la encuesta
trade	el comercio
commercial	comercial
open	abierto
closed	cerrado
to run (a company)	dirigir
job interview	la entrevista de trabajo
board of directors	el consejo de administración
business	los negocios
international business	los negocios internacionales
container	el container
reopening	la reapertura
transport	el transporte
delivery	la entrega
budget	el presupuesto
boss	el jefe
leadership	el liderazgo
bill (restaurant)	la cuenta
lease	el leasing
board (council)	el consejo
management	la administración
management (gestión)	la gestión
to sell	vender
agriculture	la agricultura
meeting	la reunión
salesperson	el vendedor
accountant	el/la contable
director	el director
to earn	ganar
brokerage	la correduría
broker	el corredor
recession	la recesión
capital (principal)	el principal
fee	el arancel
bull (market)	alcista
transaction	la transacción
income	el ingreso
loss	la caída
gain	la ganancia
interest (finance)	el interés
stock exchange	la bolsa de valores
to invest	invertir
security (finance)	el valor
bond	la cédula
fund	el fondo
wealth	la riqueza
assets	los activos
trust	el fideicomiso
economy	la economía
stock market	el mercado de valores
share (stock)	la acción
hold on a moment	espera un momento
say something	di algo
come here	ven aquí
go away	vete
turn around	date la vuelta
go to bed	vete a dormir
be good	sé bueno
Look!	¡Mira!
be careful	ten cuidado
tell me	háblame
answer the questions	contesta las preguntas
do the dishes	lava los platos
close the door	cierra la puerta
sit down	toma asiento
help me, please	ayúdame, por favor
help me	ayúdame
tell me (dime)	dime
do it now	hazlo ahora
give it to me	dámelo
amethyst	la amatista
amber	el ámbar
diamond	el diamante
emerald	la esmeralda
ruby	el rubí
agate	el ágata
garnet	el granate
jade	el jade
obsidian	la obsidiana
quartz	el cuarzo
sapphire	el zafiro
topaz	el topacio
turquoise	la turquesa
opal	el ópalo
wool	la lana
wax	la cera
suede	el ante
stone	la piedra
silver (metal)	la plata
silk	la seda
rubber	la goma
plastic	el plástico
plaster	el yeso
paper	el papel
nylon	el nylon
lace	el encaje
iron (metal)	el hierro
flannel	la franela
feather	la pluma
elastic	el elástico
denim	la tela vaquera
whim	el capricho
rabble	la chusma
crook	el malandrín
stingy	tacaño
poster	el afiche
workshop (taller)	el taller
do-it-yourself	el bricolaje
puppet	la marioneta
runoff (election)	el balotaje
chest of drawers	la cómoda
dossier	el dosier
kiosk	el quiosco
landscape	el paisaje
beanbag chair	el puf
bed base	el somier
banquet	el banquete
Bolognese sauce	la boloñesa
cutlet (milanesa)	la milanesa
gnocchi	el ñoqui
mortadella	la mortadela
beet	la remolacha
watercolor	la acuarela
harlequin	el arlequín
duet	el dueto
porcelain	la porcelana
sonnet	el soneto
tarantella	la tarantela
cello	el violonchelo
to camp	acampar
assault	el asalto
compass	la brújula
skirmish	la escaramuza
shotgun	la escopeta
sentry	el centinela
trench	la trinchera
to chat	charlar
to celebrate	festejar
gazette	la gaceta
gondola	la góndola
grotesque	grotesco
company (business)	la empresa
slang	el argot
plot (conspiracy)	el complot
stuffed toy	la peluche
desk (pupitre)	el pupitre
